driverId,Avg_Lap_Time,Total_Laps
1,96752.70828201211,20297
2,92514.57860014432,9701
3,98486.722695099,11161
4,96208.60932704201,21829
5,100620.95779601407,5971
6,95103.3509127789,1972
7,95072.25470219436,1276
8,93918.77925146325,18623
9,95376.17329700272,5505
10,101818.09896820383,4749
11,91514.21721677075,4484
12,94326.72842438638,1263
13,96249.28840716305,14854
14,89663.8107216127,11211
15,93661.5261374637,12396
16,100907.27847891067,6022
17,95273.10872324991,11028
18,95662.16764995083,16272
19,94765.73138548539,1061
20,97876.88141474401,16427
21,90985.82943783126,11509
22,92768.2230519256,14463
23,90227.54560331661,9166
24,98683.40578947369,3800
25,91960.8818784212,3471
26,89131.0747081712,1285
27,91653.00546946216,2194
28,235988.6923076923,13
29,107115.21271393643,818
30,92023.12082320778,13168
31,86976.9601382957,4917
32,90397.10424710425,2331
33,91498.51842629482,2008
34,114121.78620689655,145
35,90217.31513110416,8314
36,87851.8125,240
37,97307.13216736772,4517
38,96068.30198915009,553
39,102565.25757575757,2244
40,90529.8640776699,412
41,93419.8210955711,1716
42,92190.3080513419,857
43,86875.07547169812,1484
44,91000.81242573417,5891
45,89550.81238615664,549
46,93113.38179347826,736
47,91331.81230448384,959
48,92526.34464902186,1738
49,91579.23255016292,5831
50,92864.20566842238,3987
51,89954.63880597014,670
52,89165.95618153365,639
53,89416.62080536912,298
54,88575.05239520958,668
55,92439.6363449692,4870
56,91436.43708129639,5523
57,91516.5858382086,4957
58,94550.56974248927,932
59,92598.65356004251,941
60,95138.69245463228,1047
61,89210.22891566265,166
62,91378.02480620155,645
63,92789.66020966272,4388
64,93658.94419208306,3082
65,91358.5243315508,3740
66,87315.03286384976,639
67,103718.67506785576,2579
68,94651.1310832025,1274
69,98092.94625719769,1042
70,94160.7264957265,585
71,92254.74571716493,2977
72,82907.90322580645,31
73,94759.5966542751,1076
74,96730.44208809135,613
75,93824.8834561286,1493
76,93542.74881516588,844
77,93814.96523388116,1582
78,94104.28880866426,277
79,95495.80431309904,1252
81,89921.91267605634,355
82,93580.45238095238,210
83,98066.79566563468,646
84,95444.02695035462,705
85,99919.84033613445,119
86,90779.28057553957,139
153,103473.19102075392,2361
154,97769.06713381555,8848
155,105235.57042451504,3557
807,98356.89779424145,11878
808,104544.72283517219,2991
810,108922.46866840731,766
811,104977.74590163934,2196
812,101723.64915572232,533
813,103471.58930552474,4507
814,103049.4317904994,3284
815,98009.26350784326,15491
816,110940.72291466923,1043
817,98227.58247823933,14131
818,102204.6794657763,2995
819,102787.49236076885,2029
820,104689.90661686232,1874
821,102193.6085106383,3055
822,97318.8505158358,13861
823,103390.9119226638,931
824,104306.18871151653,1754
825,96987.91898989899,9900
826,98504.52487135505,5830
827,129985.0,1
828,98732.8673740053,4901
829,101773.11987041037,926
830,95693.98842551687,11318
831,101964.85836330935,2224
832,96419.3441856282,11119
833,100870.10447761194,737
834,102816.82450331126,302
835,99547.5737217598,1682
836,99908.99248496995,1996
837,94688.58592471358,611
838,96398.24694154962,2207
839,97029.13959666707,8281
840,95922.82069728832,9035
841,94894.40368852459,3416
842,96090.06466763005,8304
843,95627.91765704584,1178
844,95584.53921815888,7930
845,93758.17531305904,1118
846,96429.62864576202,7303
847,95362.81379406826,7148
848,94918.97440909898,5627
849,97352.13523459062,3261
850,80792.57142857143,140
851,63319.402298850575,87
852,98711.04211663066,4630
853,99968.55555555556,1008
854,98270.78173034695,2277
855,96468.95998903809,3649
856,92335.61074918567,614
857,96402.15100798784,2629
858,97034.00523286237,1911
859,100862.63538461538,650
860,107227.06470588235,170
861,96557.14105793451,397
862,91576.24561403508,57
